FID,name,modelobjec,x_coord,y_coord
287,Point 287,NapaRiver - 25015.6708984375 - QPoint,-122.429323217999993,38.497754731400001
288,Point 288,NapaRiver - 25453 - HPoint,-122.425630873000003,38.495290312999998
289,Point 289,NapaRiver - 26420.5 - QPoint,-122.423158204000003,38.487204291899999
290,Point 290,NapaRiver - 27388 - HPoint,-122.416704379999999,38.480667822100003
291,Point 291,NapaRiver - 28355.5 - QPoint,-122.414181307000007,38.472823335500003
292,Point 292,NapaRiver - 29323 - HPoint,-122.412267111999995,38.464799105899999
293,Point 293,NapaRiver - 30200.75 - QPoint,-122.409488389000003,38.458345996299997
294,Point 294,NapaRiver - 31078.5 - HPoint,-122.403800146999998,38.453105327499998
295,Point 295,NapaRiver - 31956.25 - QPoint,-122.402158634000003,38.446040074599999
296,Point 296,NapaRiver - 32834 - HPoint,-122.395181159000003,38.440989168599998
297,Point 297,NapaRiver - 33364.458984375 - QPoint,-122.391298414999994,38.437489207399999
298,Point 298,NapaRiver - 33894.91796875 - HPoint,-122.389069082000006,38.433352631799998
299,Point 299,NapaRiver - 34387.896484375 - QPoint,-122.384318093999994,38.431710526300002
300,Point 300,NapaRiver - 34880.875 - HPoint,-122.380910932999996,38.428424922799998
301,Point 301,NapaRiver - 36375.0703125 - QPoint,-122.368665706000002,38.421170833399998
302,Point 302,NapaRiver - 37869.265625 - HPoint,-122.353378851000002,38.419143178500001
303,Point 303,NapaRiver - 37964.1328125 - QPoint,-122.352720665000007,38.418555747900001
304,Point 304,NapaRiver - 38059 - HPoint,-122.351761131999993,38.418156175000000
305,Point 305,NapaRiver - 39131.0546875 - QPoint,-122.344121369999996,38.412215417500001
306,Point 306,NapaRiver - 40203.109375 - HPoint,-122.341653166000000,38.403109077800003
307,Point 307,NapaRiver - 41275.1640625 - QPoint,-122.341885896999997,38.393941067999997
308,Point 308,NapaRiver - 42347.21875 - HPoint,-122.335693569000000,38.387021659699997
309,Point 309,NapaRiver - 43419.2734375 - QPoint,-122.323869208999994,38.386753995799999
310,Point 310,NapaRiver - 44491.328125 - HPoint,-122.314852400999996,38.381597554099997
311,Point 311,NapaRiver - 44707.03515625 - QPoint,-122.313139781000004,38.380197929300003
312,Point 312,NapaRiver - 44922.7421875 - HPoint,-122.311406743000006,38.378814153999997
313,Point 313,NapaRiver - 45384.37109375 - QPoint,-122.308727332000004,38.375499885000004
314,Point 314,NapaRiver - 45846 - HPoint,-122.305541691000002,38.372252930800002
315,Point 315,NapaRiver - 46068.5 - QPoint,-122.304395384000003,38.370463107900001
316,Point 316,NapaRiver - 46291 - HPoint,-122.303695321000006,38.368560318999997
317,Point 317,NapaRiver - 46985.501953125 - QPoint,-122.301988616000003,38.363561778499999
